zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
08215,Egg Harbor City,Cape May,Egg Harbor City (Cape May),84630,13921,821,0.059,45.1,7,2.51,121.2,7.4,census_comprehensive
08220,Leeds Point,Cape May,Leeds Point (Cape May),65000,15000,1800,0.12,38.0,12,4.0,121.2,9.7,census_comprehensive
08223,Marmora,Cape May,Marmora (Cape May),100000,4063,115,0.028,46.2,5,6.15,121.2,6.3,census_comprehensive
08224,New Gretna,Cape May,New Gretna (Cape May),99583,158,0,0.0,35.8,8,253.16,121.2,6.3,census_comprehensive
08226,Ocean City,Cape May,Ocean City (Cape May),101782,11260,887,0.079,57.3,4,1.78,121.2,6.2,census_comprehensive
08230,Ocean View,Cape May,Ocean View (Cape May),110667,5998,126,0.021,45.2,11,9.17,121.2,5.7,census_comprehensive
08232,Pleasantville,Cape May,Pleasantville (Cape May),52476,20200,4609,0.228,35.6,6,1.49,121.2,12.0,census_comprehensive
08240,Pomona,Cape May,Pomona (Cape May),65000,2812,0,0.0,20.4,5,8.89,121.2,9.7,census_comprehensive
08241,Port Republic,Cape May,Port Republic (Cape May),130417,1047,18,0.017,48.5,6,28.65,121.2,4.8,census_comprehensive
08242,Rio Grande,Cape May,Rio Grande (Cape May),97831,4021,355,0.088,51.4,1,1.24,121.2,6.4,census_comprehensive
08243,Sea Isle City,Cape May,Sea Isle City (Cape May),98860,2079,98,0.047,65.2,12,28.86,121.2,6.4,census_comprehensive
08244,Somers Point,Cape May,Somers Point (Cape May),67500,10611,1174,0.111,43.9,12,5.65,121.2,9.3,census_comprehensive
08246,South Seaville,Cape May,South Seaville (Cape May),65000,53,0,0.0,-666666666.0,6,566.04,121.2,9.7,census_comprehensive
08247,Stone Harbor,Cape May,Stone Harbor (Cape May),133929,936,43,0.046,66.0,7,37.39,121.2,4.7,census_comprehensive
08248,Strathmere,Cape May,Strathmere (Cape May),106840,134,0,0.0,53.9,6,223.88,121.2,5.9,census_comprehensive
08250,Tuckahoe,Cape May,Tuckahoe (Cape May),65000,15000,1800,0.12,38.0,7,2.33,121.2,9.7,census_comprehensive
08251,Villas,Cape May,Villas (Cape May),76433,10360,1273,0.123,45.6,4,1.93,121.2,8.2,census_comprehensive
08260,Wildwood,Cape May,Wildwood (Cape May),71549,12913,1572,0.122,59.1,10,3.87,121.2,8.8,census_comprehensive
08270,Woodbine,Cape May,Woodbine (Cape May),95033,8239,806,0.098,40.4,10,6.07,121.2,6.6,census_comprehensive
08302,Bridgeton,Cumberland,Bridgeton (Cumberland),60301,47003,9819,0.209,32.4,9,0.96,112.8,9.7,census_comprehensive
08310,Buena,Cumberland,Buena (Cumberland),46188,1236,131,0.106,67.1,8,32.36,112.8,12.7,census_comprehensive
08311,Cedarville,Cumberland,Cedarville (Cumberland),74352,1656,270,0.163,44.1,7,21.14,112.8,7.9,census_comprehensive
08312,Clayton,Cumberland,Clayton (Cumberland),88448,8395,622,0.074,40.9,6,3.57,112.8,6.6,census_comprehensive
08314,Delmont,Cumberland,Delmont (Cumberland),65000,503,59,0.117,51.5,6,59.64,112.8,9.0,census_comprehensive
08318,Elmer,Cumberland,Elmer (Cumberland),87551,12149,1170,0.096,41.2,7,2.88,112.8,6.7,census_comprehensive
08320,Fairton,Cumberland,Fairton (Cumberland),65000,1065,0,0.0,41.2,9,42.25,112.8,9.0,census_comprehensive
08321,Fortescue,Cumberland,Fortescue (Cumberland),52500,153,0,0.0,61.9,4,130.72,112.8,11.2,census_comprehensive
08322,Franklinville,Cumberland,Franklinville (Cumberland),117602,10391,855,0.082,39.1,5,2.41,112.8,5.0,census_comprehensive
08324,Heislerville,Cumberland,Heislerville (Cumberland),86538,216,0,0.0,30.4,5,115.74,112.8,6.8,census_comprehensive
08326,Landisville,Cumberland,Landisville (Cumberland),74891,1430,103,0.072,33.9,7,24.48,112.8,7.8,census_comprehensive
08327,Leesburg,Cumberland,Leesburg (Cumberland),60556,3505,34,0.01,40.5,10,14.27,112.8,9.7,census_comprehensive
08328,Malaga,Cumberland,Malaga (Cumberland),108750,1554,126,0.081,36.8,10,32.18,112.8,5.4,census_comprehensive
08330,Mays Landing,Cumberland,Mays Landing (Cumberland),82981,30009,2381,0.079,41.5,9,1.5,112.8,7.1,census_comprehensive
08332,Millville,Cumberland,Millville (Cumberland),65825,35214,4542,0.129,41.8,9,1.28,112.8,8.9,census_comprehensive
08340,Milmay,Cumberland,Milmay (Cumberland),72813,876,8,0.009,48.5,9,51.37,112.8,8.0,census_comprehensive
08341,Minotola,Cumberland,Minotola (Cumberland),68462,2002,147,0.073,33.8,5,12.49,112.8,8.6,census_comprehensive
08343,Monroeville,Cumberland,Monroeville (Cumberland),143561,4438,147,0.033,46.1,12,13.52,112.8,4.1,census_comprehensive
08344,Newfield,Cumberland,Newfield (Cumberland),73340,5296,196,0.037,42.3,7,6.61,112.8,8.0,census_comprehensive
08345,Newport,Cumberland,Newport (Cumberland),64076,801,128,0.16,61.0,3,18.73,112.8,9.1,census_comprehensive
08346,Newtonville,Cumberland,Newtonville (Cumberland),79464,444,0,0.0,35.9,4,45.05,112.8,7.4,census_comprehensive
08348,Port Elizabeth,Cumberland,Port Elizabeth (Cumberland),65000,191,0,0.0,62.1,3,78.53,112.8,9.0,census_comprehensive
08349,Port Norris,Cumberland,Port Norris (Cumberland),55893,2400,277,0.115,37.8,7,14.58,112.8,10.5,census_comprehensive
08350,Richland,Cumberland,Richland (Cumberland),152525,859,32,0.037,55.0,11,64.03,112.8,3.8,census_comprehensive
08360,Vineland,Cumberland,Vineland (Cumberland),62604,44276,7054,0.159,37.5,10,1.13,112.8,9.4,census_comprehensive
08401,Atlantic City,Atlantic,Atlantic City (Atlantic),36375,38744,12796,0.33,37.6,5,0.65,118.8,17.0,census_comprehensive
08402,Margate City,Atlantic,Margate City (Atlantic),114417,5260,325,0.062,57.9,4,3.8,118.8,5.4,census_comprehensive
08403,Longport,Atlantic,Longport (Atlantic),103295,1012,61,0.06,68.3,1,4.94,118.8,6.0,census_comprehensive
08404,Atlantic City,Atlantic,Atlantic City (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08405,Atlantic City,Atlantic,Atlantic City (Atlantic),65000,15000,1800,0.12,38.0,10,3.33,118.8,9.5,census_comprehensive
08406,Ventnor City,Atlantic,Ventnor City (Atlantic),75034,8962,951,0.106,56.8,5,2.79,118.8,8.2,census_comprehensive
08407,Area 407,Atlantic,Area 407 (Atlantic),65000,15000,1800,0.12,38.0,7,2.33,118.8,9.5,census_comprehensive
08408,Area 408,Atlantic,Area 408 (Atlantic),65000,15000,1800,0.12,38.0,3,1.0,118.8,9.5,census_comprehensive
